rule,lam,bits,rounding,scale,n_seeds,current_mean,current_std,stale_mean,stale_std,write_lsb_mean,unchanged_frac_mean
delta,0.99,8,nearest,dynamic,3,0.8592,0.0010,0.0076,0.0023,4.4975,0.1334
delta,0.99,8,stochastic,static,3,0.8577,0.0012,0.0073,0.0017,2.8712,0.2141
delta,0.99,8,stochastic,dynamic,3,0.8594,0.0024,0.0078,0.0016,4.4924,0.1289
delta,0.99,4,nearest,static,3,0.9378,0.0058,0.0059,0.0011,0.1706,0.9266
delta,0.99,4,nearest,dynamic,3,0.8647,0.0035,0.0392,0.0009,0.1392,0.9516
delta,0.99,4,stochastic,static,3,0.7671,0.0028,0.0125,0.0012,0.1828,0.8173
delta,0.99,4,stochastic,dynamic,3,0.4359,0.0054,0.0295,0.0010,0.1013,0.8929
delta,0.995,32,,,3,0.9521,0.0039,0.0016,0.0002,nan,0.0000
delta,0.995,bf16,,,3,0.9523,0.0037,0.0016,0.0002,nan,0.0253
delta,0.995,8,nearest,static,3,0.9562,0.0032,0.0011,0.0005,2.6416,0.2470
delta,0.995,8,nearest,dynamic,3,0.9520,0.0040,0.0016,0.0002,4.0921,0.1457
delta,0.995,8,stochastic,static,3,0.9499,0.0036,0.0016,0.0002,2.6354,0.2317
delta,0.995,8,stochastic,dynamic,3,0.9515,0.0031,0.0016,0.0006,4.0829,0.1405
delta,0.995,4,nearest,static,3,0.9574,0.0017,0.0054,0.0014,0.1548,0.9416
delta,0.995,4,nearest,dynamic,3,0.0269,0.0048,0.2856,0.0051,0.0942,0.9792
delta,0.995,4,stochastic,static,3,0.8156,0.0092,0.0104,0.0023,0.1772,0.8247
delta,0.995,4,stochastic,dynamic,3,0.0055,0.0018,0.0555,0.0026,0.0865,0.9086
delta,0.997,32,,,3,0.9819,0.0021,0.0007,0.0005,nan,0.0000
delta,0.997,bf16,,,3,0.9821,0.0026,0.0007,0.0005,nan,0.0313
delta,0.997,8,nearest,static,3,0.9844,0.0026,0.0007,0.0005,2.5351,0.2550
delta,0.997,8,nearest,dynamic,3,0.9823,0.0023,0.0005,0.0004,3.8922,0.1524
delta,0.997,8,stochastic,static,3,0.9818,0.0023,0.0008,0.0002,2.5309,0.2395
delta,0.997,8,stochastic,dynamic,3,0.9824,0.0018,0.0007,0.0005,3.8803,0.1470
delta,0.997,4,nearest,static,3,0.9515,0.0030,0.0078,0.0007,0.1467,0.9488
delta,0.997,4,nearest,dynamic,3,0.0047,0.0006,0.3690,0.0201,0.0860,0.9831
delta,0.997,4,stochastic,static,3,0.8239,0.0018,0.0104,0.0008,0.1744,0.8288
delta,0.997,4,stochastic,dynamic,3,0.0046,0.0010,0.0594,0.0018,0.0846,0.9107
delta,0.998,32,,,3,0.9912,0.0017,0.0003,0.0002,nan,0.0000
delta,0.998,bf16,,,3,0.9912,0.0021,0.0003,0.0002,nan,0.0355
delta,0.998,8,nearest,static,3,0.9917,0.0025,0.0003,0.0002,2.4692,0.2600
delta,0.998,8,nearest,dynamic,3,0.9912,0.0022,0.0003,0.0002,3.7767,0.1566
delta,0.998,8,stochastic,static,3,0.9914,0.0020,0.0003,0.0002,2.4667,0.2443
delta,0.998,8,stochastic,dynamic,3,0.9917,0.0014,0.0003,0.0002,3.7612,0.1510
delta,0.998,4,nearest,static,3,0.9468,0.0029,0.0129,0.0008,0.1415,0.9534
delta,0.998,4,nearest,dynamic,3,0.0049,0.0011,0.4046,0.0173,0.0839,0.9843
delta,0.998,4,stochastic,static,3,0.8289,0.0032,0.0101,0.0018,0.1722,0.8317
delta,0.998,4,stochastic,dynamic,3,0.0039,0.0014,0.0571,0.0028,0.0840,0.9113
delta,0.999,32,,,3,0.9966,0.0007,0.0002,0.0002,nan,0.0000
delta,0.999,bf16,,,3,0.9964,0.0006,0.0002,0.0002,nan,0.0384
delta,0.999,8,nearest,static,3,0.9961,0.0007,0.0003,0.0005,2.3359,0.2703
