T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
512,hebbian,0.9,32,,,3,25.02,0.44,19.7,0.5,0.0445,0.0006,nan,0.0000
512,hebbian,0.9,8,nearest,static,3,25.10,0.41,20.0,0.0,0.0445,0.0007,3.3849,0.1365
512,hebbian,0.9,8,nearest,dynamic,3,25.00,0.40,19.7,0.5,0.0445,0.0007,6.9335,0.0759
512,hebbian,0.9,8,stochastic,static,3,24.97,0.38,20.0,0.0,0.0444,0.0007,3.3849,0.1345
512,hebbian,0.9,8,stochastic,dynamic,3,25.02,0.44,19.7,0.5,0.0445,0.0006,6.9329,0.0745
512,hebbian,0.9,4,nearest,static,3,49.04,1.95,43.7,2.1,0.0753,0.0017,0.1866,0.9023
512,hebbian,0.9,4,nearest,dynamic,3,28.81,0.31,23.3,0.5,0.0490,0.0003,0.3609,0.7174
512,hebbian,0.9,4,stochastic,static,3,24.10,0.39,18.7,0.5,0.0353,0.0004,0.1866,0.7901
512,hebbian,0.9,4,stochastic,dynamic,3,24.76,0.49,19.3,0.5,0.0401,0.0005,0.3480,0.6454
512,hebbian,0.97,32,,,3,67.25,0.29,60.3,0.9,0.1130,0.0006,nan,0.0000
512,hebbian,0.97,8,nearest,static,3,67.28,0.41,60.3,0.9,0.1129,0.0006,2.7754,0.2005
512,hebbian,0.97,8,nearest,dynamic,3,67.21,0.30,60.3,0.9,0.1130,0.0006,4.4618,0.1281
512,hebbian,0.97,8,stochastic,static,3,67.15,0.36,60.3,0.9,0.1127,0.0006,2.7754,0.1926
512,hebbian,0.97,8,stochastic,dynamic,3,67.15,0.29,60.0,0.8,0.1129,0.0006,4.4589,0.1241
512,hebbian,0.97,4,nearest,static,3,151.19,3.92,135.0,2.9,0.1988,0.0035,0.1530,0.9421
512,hebbian,0.97,4,nearest,dynamic,3,115.21,0.89,107.0,0.8,0.1614,0.0008,0.1867,0.9039
512,hebbian,0.97,4,stochastic,static,3,60.71,0.43,52.7,0.5,0.0817,0.0006,0.1530,0.8393
512,hebbian,0.97,4,stochastic,dynamic,3,60.33,0.68,52.3,0.5,0.0812,0.0007,0.1635,0.8233
512,hebbian,0.99,32,,,3,159.03,0.84,146.3,1.7,0.2418,0.0004,nan,0.0000
512,hebbian,0.99,8,nearest,static,3,164.35,1.09,152.0,1.4,0.2476,0.0007,1.8923,0.3006
512,hebbian,0.99,8,nearest,dynamic,3,159.03,0.80,149.0,2.8,0.2415,0.0004,2.8913,0.1943
512,hebbian,0.99,8,stochastic,static,3,158.42,0.70,145.7,1.2,0.2403,0.0004,1.8923,0.2790
512,hebbian,0.99,8,stochastic,dynamic,3,158.86,0.99,145.7,1.2,0.2410,0.0005,2.8874,0.1858
512,hebbian,0.99,4,nearest,static,3,214.42,7.48,155.0,9.4,0.2462,0.0049,0.1043,0.9817
512,hebbian,0.99,4,nearest,dynamic,3,110.41,0.76,0.0,0.0,0.1587,0.0004,0.0811,0.9833
512,hebbian,0.99,4,stochastic,static,3,115.12,0.37,101.3,0.9,0.1393,0.0013,0.1043,0.8929
512,hebbian,0.99,4,stochastic,dynamic,3,83.12,0.56,70.0,1.4,0.0999,0.0007,0.0735,0.9210
512,hebbian,0.999,32,,,3,459.20,0.75,512.0,0.0,0.4412,0.0000,nan,0.0000
512,hebbian,0.999,8,nearest,static,3,461.57,0.51,512.0,0.0,0.4358,0.0008,0.8726,0.4988
512,hebbian,0.999,8,nearest,dynamic,3,457.97,0.38,512.0,0.0,0.4379,0.0001,1.7041,0.3226
512,hebbian,0.999,8,stochastic,static,3,452.18,1.10,512.0,0.0,0.4271,0.0017,0.8726,0.4581
512,hebbian,0.999,8,stochastic,dynamic,3,455.72,0.95,512.0,0.0,0.4342,0.0001,1.6982,0.3022
512,hebbian,0.999,4,nearest,static,3,23.54,4.75,0.0,0.0,0.0657,0.0119,0.0481,0.9996
512,hebbian,0.999,4,nearest,dynamic,3,61.78,0.93,0.0,0.0,0.0884,0.0012,0.0480,0.9888
512,hebbian,0.999,4,stochastic,static,3,91.98,5.83,0.0,0.0,0.1623,0.0048,0.0481,0.9523
512,hebbian,0.999,4,stochastic,dynamic,3,31.48,0.28,0.0,0.0,0.1033,0.0010,0.0421,0.9553
512,hebbian,1.0,32,,,3,479.06,0.33,512.0,0.0,0.4472,0.0000,nan,0.0000
512,hebbian,1.0,8,nearest,static,3,474.45,0.78,512.0,0.0,0.4370,0.0009,0.7143,0.5555
512,hebbian,1.0,8,nearest,dynamic,3,476.82,0.27,512.0,0.0,0.4431,0.0001,1.5567,0.3547
512,hebbian,1.0,8,stochastic,static,3,468.95,1.60,512.0,0.0,0.4268,0.0018,0.7143,0.5078
512,hebbian,1.0,8,stochastic,dynamic,3,475.01,0.32,512.0,0.0,0.4388,0.0001,1.5518,0.3304
512,hebbian,1.0,4,nearest,static,3,14.12,1.67,0.0,0.0,0.0336,0.0068,0.0394,0.9999
512,hebbian,1.0,4,nearest,dynamic,3,59.10,0.99,0.0,0.0,0.0858,0.0015,0.0463,0.9890
512,hebbian,1.0,4,stochastic,static,3,71.50,3.80,0.0,0.0,0.1496,0.0035,0.0394,0.9613
512,hebbian,1.0,4,stochastic,dynamic,3,29.30,0.41,0.0,0.0,0.1029,0.0008,0.0395,0.9581
512,delta,0.9,32,,,3,23.60,0.33,18.3,0.5,0.0421,0.0005,nan,0.0000
512,delta,0.9,8,nearest,static,3,23.58,0.34,18.3,0.5,0.0421,0.0005,3.6660,0.1275
512,delta,0.9,8,nearest,dynamic,3,23.62,0.31,18.3,0.5,0.0421,0.0005,7.1893,0.0736
512,delta,0.9,8,stochastic,static,3,23.64,0.41,18.3,0.5,0.0420,0.0005,3.6661,0.1259
512,delta,0.9,8,stochastic,dynamic,3,23.62,0.33,18.3,0.5,0.0421,0.0005,7.1882,0.0723
512,delta,0.9,4,nearest,static,3,40.92,0.58,34.7,0.9,0.0648,0.0011,0.2066,0.8813
512,delta,0.9,4,nearest,dynamic,3,26.85,0.27,21.3,0.5,0.0459,0.0008,0.3777,0.7043
512,delta,0.9,4,stochastic,static,3,22.96,0.36,17.0,0.0,0.0344,0.0005,0.2061,0.7720
512,delta,0.9,4,stochastic,dynamic,3,23.45,0.48,17.7,0.5,0.0383,0.0003,0.3662,0.6333
512,delta,0.97,32,,,3,54.70,0.50,48.0,0.0,0.0955,0.0005,nan,0.0000
512,delta,0.97,8,nearest,static,3,54.65,0.58,48.7,0.5,0.0954,0.0005,3.0588,0.1885
512,delta,0.97,8,nearest,dynamic,3,54.58,0.50,48.0,0.0,0.0954,0.0005,4.9980,0.1160
512,delta,0.97,8,stochastic,static,3,54.69,0.53,48.7,0.5,0.0953,0.0005,3.0592,0.1812
512,delta,0.97,8,stochastic,dynamic,3,54.70,0.42,48.3,0.5,0.0954,0.0005,4.9956,0.1127
512,delta,0.97,4,nearest,static,3,91.09,3.02,82.3,3.7,0.1346,0.0018,0.1819,0.9140
512,delta,0.97,4,nearest,dynamic,3,76.78,0.53,69.0,1.4,0.1171,0.0004,0.2290,0.8612
512,delta,0.97,4,stochastic,static,3,50.07,0.81,44.0,0.8,0.0718,0.0009,0.1824,0.8117
512,delta,0.97,4,stochastic,dynamic,3,50.90,0.41,44.3,0.5,0.0736,0.0004,0.2040,0.7851
512,delta,0.99,32,,,3,97.70,0.72,90.7,0.9,0.1615,0.0005,nan,0.0000
512,delta,0.99,8,nearest,static,3,99.05,0.91,91.3,1.2,0.1631,0.0006,2.4497,0.2532
512,delta,0.99,8,nearest,dynamic,3,97.85,0.65,90.3,0.5,0.1614,0.0005,3.7321,0.1556
512,delta,0.99,8,stochastic,static,3,97.50,0.63,90.0,0.0,0.1608,0.0005,2.4456,0.2365
512,delta,0.99,8,stochastic,dynamic,3,97.47,0.61,90.0,0.0,0.1612,0.0005,3.7295,0.1498
512,delta,0.99,4,nearest,static,3,130.08,0.18,118.0,2.9,0.1772,0.0006,0.1542,0.9418
512,delta,0.99,4,nearest,dynamic,3,130.47,0.40,113.7,5.2,0.1718,0.0001,0.1475,0.9446
512,delta,0.99,4,stochastic,static,3,77.01,0.58,67.0,1.6,0.1039,0.0002,0.1698,0.8295
512,delta,0.99,4,stochastic,dynamic,3,39.59,0.26,29.7,0.9,0.0527,0.0010,0.1232,0.8703
512,delta,0.999,32,,,3,152.80,0.97,138.0,2.2,0.2362,0.0003,nan,0.0000
512,delta,0.999,8,nearest,static,3,153.10,1.11,138.3,2.5,0.2358,0.0003,1.8633,0.3143
512,delta,0.999,8,nearest,dynamic,3,152.70,0.72,136.0,1.6,0.2355,0.0003,2.8874,0.1989
512,delta,0.999,8,stochastic,static,3,151.86,1.19,137.0,0.8,0.2339,0.0003,1.8650,0.2937
512,delta,0.999,8,stochastic,dynamic,3,152.51,1.29,137.3,2.1,0.2347,0.0003,2.8843,0.1899
512,delta,0.999,4,nearest,static,3,132.73,0.80,107.7,2.6,0.1701,0.0017,0.1095,0.9772
512,delta,0.999,4,nearest,dynamic,3,58.72,0.86,0.0,0.0,0.1253,0.0015,0.1127,0.9707
512,delta,0.999,4,stochastic,static,3,78.00,0.47,65.3,1.2,0.1045,0.0009,0.1775,0.8267
512,delta,0.999,4,stochastic,dynamic,3,2.39,0.19,0.0,0.0,0.0032,0.0006,0.1101,0.8843
512,delta,1.0,32,,,3,161.20,1.34,144.7,2.5,0.2461,0.0002,nan,0.0000
512,delta,1.0,8,nearest,static,3,161.11,1.07,144.3,2.1,0.2448,0.0003,1.7482,0.3283
512,delta,1.0,8,nearest,dynamic,3,161.05,0.92,144.7,1.9,0.2453,0.0003,2.7817,0.2061
512,delta,1.0,8,stochastic,static,3,160.08,0.49,144.0,2.8,0.2431,0.0004,1.7556,0.3057
512,delta,1.0,8,stochastic,dynamic,3,160.72,0.80,143.7,1.2,0.2443,0.0002,2.7799,0.1964
512,delta,1.0,4,nearest,static,3,123.74,3.34,98.3,3.7,0.1609,0.0022,0.0968,0.9848
512,delta,1.0,4,nearest,dynamic,3,56.31,0.96,0.0,0.0,0.1169,0.0013,0.1101,0.9724
512,delta,1.0,4,stochastic,static,3,72.85,0.67,59.0,1.4,0.0996,0.0012,0.1794,0.8256
512,delta,1.0,4,stochastic,dynamic,3,2.21,0.17,0.0,0.0,0.0019,0.0006,0.1097,0.8848
