T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
512,hebbian,0.999,4,nearest,dynamic,3,61.78,0.93,0.0,0.0,0.0884,0.0012,0.0480,0.9888
512,hebbian,0.999,4,stochastic,static,3,91.98,5.83,0.0,0.0,0.1623,0.0048,0.0481,0.9523
512,hebbian,0.999,4,stochastic,dynamic,3,31.48,0.28,0.0,0.0,0.1033,0.0010,0.0421,0.9553
512,hebbian,1.0,32,,,3,479.06,0.33,512.0,0.0,0.4472,0.0000,nan,0.0000
512,hebbian,1.0,bf16,,,3,478.85,0.39,512.0,0.0,0.4471,0.0000,nan,0.0881
512,hebbian,1.0,8,nearest,static,3,474.45,0.78,512.0,0.0,0.4370,0.0009,0.7143,0.5555
512,hebbian,1.0,8,nearest,dynamic,3,476.82,0.27,512.0,0.0,0.4431,0.0001,1.5567,0.3547
512,hebbian,1.0,8,stochastic,static,3,468.95,1.60,512.0,0.0,0.4268,0.0018,0.7143,0.5078
512,hebbian,1.0,8,stochastic,dynamic,3,475.01,0.32,512.0,0.0,0.4388,0.0001,1.5518,0.3304
512,hebbian,1.0,4,nearest,static,3,14.12,1.67,0.0,0.0,0.0336,0.0068,0.0394,0.9999
512,hebbian,1.0,4,nearest,dynamic,3,59.10,0.99,0.0,0.0,0.0858,0.0015,0.0463,0.9890
512,hebbian,1.0,4,stochastic,static,3,71.50,3.80,0.0,0.0,0.1496,0.0035,0.0394,0.9613
512,hebbian,1.0,4,stochastic,dynamic,3,29.30,0.41,0.0,0.0,0.1029,0.0008,0.0395,0.9581
512,delta,0.99,32,,,3,97.70,0.72,90.7,0.9,0.1615,0.0005,nan,0.0000
512,delta,0.99,bf16,,,3,97.68,0.75,90.7,0.9,0.1615,0.0005,nan,0.0220
512,delta,0.99,8,nearest,static,3,99.05,0.91,91.3,1.2,0.1631,0.0006,2.4497,0.2532
512,delta,0.99,8,nearest,dynamic,3,97.85,0.65,90.3,0.5,0.1614,0.0005,3.7321,0.1556
512,delta,0.99,8,stochastic,static,3,97.50,0.63,90.0,0.0,0.1608,0.0005,2.4456,0.2365
512,delta,0.99,8,stochastic,dynamic,3,97.47,0.61,90.0,0.0,0.1612,0.0005,3.7295,0.1498
512,delta,0.99,4,nearest,static,3,130.08,0.18,118.0,2.9,0.1772,0.0006,0.1542,0.9418
512,delta,0.99,4,nearest,dynamic,3,130.47,0.40,113.7,5.2,0.1718,0.0001,0.1475,0.9446
512,delta,0.99,4,stochastic,static,3,77.01,0.58,67.0,1.6,0.1039,0.0002,0.1698,0.8295
512,delta,0.99,4,stochastic,dynamic,3,39.59,0.26,29.7,0.9,0.0527,0.0010,0.1232,0.8703
512,delta,0.995,32,,,3,123.73,0.45,112.0,0.8,0.1972,0.0005,nan,0.0000
512,delta,0.995,bf16,,,3,123.67,0.49,112.7,0.5,0.1971,0.0005,nan,0.0304
512,delta,0.995,8,nearest,static,3,125.29,0.69,115.3,1.7,0.1992,0.0006,2.1839,0.2800
512,delta,0.995,8,nearest,dynamic,3,123.49,0.80,112.0,0.8,0.1969,0.0005,3.2945,0.1753
512,delta,0.995,8,stochastic,static,3,123.11,0.47,112.0,0.8,0.1961,0.0005,2.1781,0.2618
512,delta,0.995,8,stochastic,dynamic,3,123.51,0.39,111.7,0.5,0.1966,0.0005,3.2892,0.1683
512,delta,0.995,4,nearest,static,3,138.54,1.54,123.0,1.4,0.1814,0.0008,0.1378,0.9562
512,delta,0.995,4,nearest,dynamic,3,105.78,2.50,67.0,5.0,0.1594,0.0016,0.1260,0.9620
512,delta,0.995,4,stochastic,static,3,83.56,0.89,71.3,2.9,0.1107,0.0010,0.1717,0.8297
512,delta,0.995,4,stochastic,dynamic,3,6.67,0.59,0.0,0.0,0.0148,0.0007,0.1136,0.8807
