T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
4096,hebbian,0.999,32,,,3,589.08,4.25,438.0,9.9,0.1166,0.0000,nan,0.0000
4096,hebbian,0.999,8,nearest,static,3,584.81,3.41,384.0,28.9,0.1253,0.0001,0.6403,0.5877
4096,hebbian,0.999,8,nearest,dynamic,3,578.25,3.08,444.0,2.4,0.1154,0.0001,0.9750,0.4483
4096,hebbian,0.999,8,stochastic,static,3,547.35,4.19,421.3,1.9,0.1093,0.0005,0.6403,0.5348
4096,hebbian,0.999,8,stochastic,dynamic,3,561.90,2.76,435.7,7.6,0.1118,0.0001,0.9629,0.4158
4096,hebbian,0.999,4,nearest,static,3,27.03,1.26,0.0,0.0,0.0084,0.0015,0.0353,1.0000
4096,hebbian,0.999,4,nearest,dynamic,3,75.38,1.59,0.0,0.0,0.0112,0.0002,0.0127,0.9986
4096,hebbian,0.999,4,stochastic,static,3,72.09,2.72,0.0,0.0,0.0296,0.0004,0.0353,0.9651
4096,hebbian,0.999,4,stochastic,dynamic,3,26.83,0.19,0.0,0.0,0.0131,0.0002,0.0107,0.9885
4096,hebbian,1.0,32,,,3,540.31,0.36,0.0,0.0,0.1737,0.0001,nan,0.0000
4096,hebbian,1.0,8,nearest,static,3,400.36,2.18,0.0,0.0,0.1486,0.0002,0.2520,0.8497
4096,hebbian,1.0,8,nearest,dynamic,3,475.85,1.20,0.0,0.0,0.1614,0.0003,0.5659,0.6585
4096,hebbian,1.0,8,stochastic,static,3,322.50,2.03,0.0,0.0,0.1311,0.0003,0.2520,0.7596
4096,hebbian,1.0,8,stochastic,dynamic,3,407.36,1.20,0.0,0.0,0.1481,0.0002,0.5540,0.5985
4096,hebbian,1.0,4,nearest,static,3,15.88,0.11,0.0,0.0,0.0000,0.0000,0.0139,1.0000
4096,hebbian,1.0,4,nearest,dynamic,3,72.58,0.56,0.0,0.0,0.0107,0.0001,0.0088,0.9986
4096,hebbian,1.0,4,stochastic,static,3,37.92,0.27,0.0,0.0,0.0290,0.0002,0.0139,0.9867
4096,hebbian,1.0,4,stochastic,dynamic,3,23.70,0.24,0.0,0.0,0.0131,0.0001,0.0074,0.9920
4096,delta,0.999,32,,,3,166.89,0.56,138.0,0.8,0.0298,0.0002,nan,0.0000
4096,delta,0.999,8,nearest,static,3,167.06,0.47,138.0,0.8,0.0297,0.0002,1.7270,0.3300
4096,delta,0.999,8,nearest,dynamic,3,166.77,0.66,137.3,1.2,0.0297,0.0002,2.6071,0.2118
4096,delta,0.999,8,stochastic,static,3,166.27,1.00,137.3,0.9,0.0294,0.0002,1.7287,0.3078
4096,delta,0.999,8,stochastic,dynamic,3,166.40,0.53,138.0,0.0,0.0296,0.0002,2.6024,0.2019
4096,delta,0.999,4,nearest,static,3,137.60,2.65,97.0,4.2,0.0216,0.0003,0.1240,0.9672
4096,delta,0.999,4,nearest,dynamic,3,41.56,2.15,0.0,0.0,0.0141,0.0001,0.0866,0.9888
4096,delta,0.999,4,stochastic,static,3,84.91,1.58,54.7,1.2,0.0121,0.0003,0.1853,0.8194
4096,delta,0.999,4,stochastic,dynamic,3,15.62,0.60,0.0,0.0,0.0000,0.0002,0.0967,0.8978
4096,delta,1.0,32,,,3,175.22,1.13,142.7,2.1,0.0312,0.0002,nan,0.0000
4096,delta,1.0,8,nearest,static,3,174.54,0.33,141.0,0.8,0.0309,0.0002,1.6225,0.3438
4096,delta,1.0,8,nearest,dynamic,3,175.14,0.92,143.0,2.2,0.0311,0.0002,2.4647,0.2221
4096,delta,1.0,8,stochastic,static,3,174.02,0.88,143.3,1.7,0.0307,0.0002,1.6328,0.3193
4096,delta,1.0,8,stochastic,dynamic,3,174.43,0.79,141.3,2.6,0.0310,0.0002,2.4603,0.2113
4096,delta,1.0,4,nearest,static,3,128.81,2.73,85.7,2.5,0.0207,0.0002,0.1157,0.9729
4096,delta,1.0,4,nearest,dynamic,3,30.18,0.77,0.0,0.0,0.0114,0.0002,0.0797,0.9914
4096,delta,1.0,4,stochastic,static,3,79.00,2.08,51.0,2.2,0.0114,0.0005,0.1900,0.8160
4096,delta,1.0,4,stochastic,dynamic,3,16.57,1.24,0.0,0.0,-0.0000,0.0002,0.0966,0.8978
