T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
4096,hebbian,0.999,32,,,0,593.34,440,0.1166,nan,0.0000,0.0000
4096,hebbian,0.999,8,nearest,static,0,589.53,352,0.1251,0.6613,0.0000,0.5788
4096,hebbian,0.999,8,nearest,dynamic,0,581.59,441,0.1155,0.9747,0.0001,0.4490
4096,hebbian,0.999,8,stochastic,static,0,553.16,424,0.1098,0.6613,0.0000,0.5271
4096,hebbian,0.999,8,stochastic,dynamic,0,565.06,440,0.1119,0.9626,0.0001,0.4162
4096,hebbian,0.999,4,nearest,static,0,28.81,0,0.0100,0.0364,0.0000,1.0000
4096,hebbian,0.999,4,nearest,dynamic,0,74.31,0,0.0111,0.0122,0.0002,0.9986
4096,hebbian,0.999,4,stochastic,static,0,75.41,0,0.0299,0.0364,0.0472,0.9640
4096,hebbian,0.999,4,stochastic,dynamic,0,26.78,0,0.0128,0.0107,0.0002,0.9885
4096,hebbian,1.0,32,,,0,540.12,0,0.1736,nan,0.0000,0.0000
4096,hebbian,1.0,8,nearest,static,0,403.06,0,0.1484,0.2503,0.0000,0.8510
4096,hebbian,1.0,8,nearest,dynamic,0,476.81,0,0.1611,0.5623,0.0001,0.6616
4096,hebbian,1.0,8,stochastic,static,0,324.41,0,0.1308,0.2503,0.0000,0.7610
4096,hebbian,1.0,8,stochastic,dynamic,0,407.84,0,0.1479,0.5528,0.0001,0.5994
4096,hebbian,1.0,4,nearest,static,0,15.78,0,0.0000,0.0138,0.0000,1.0000
4096,hebbian,1.0,4,nearest,dynamic,0,73.38,0,0.0108,0.0086,0.0002,0.9987
4096,hebbian,1.0,4,stochastic,static,0,37.81,0,0.0288,0.0138,0.0897,0.9868
4096,hebbian,1.0,4,stochastic,dynamic,0,23.47,0,0.0131,0.0074,0.0002,0.9921
4096,delta,0.999,32,,,0,167.47,137,0.0297,nan,0.0000,0.0000
4096,delta,0.999,8,nearest,static,0,167.72,137,0.0296,1.7846,0.0000,0.3230
4096,delta,0.999,8,nearest,dynamic,0,167.69,137,0.0296,2.6063,0.0001,0.2118
4096,delta,0.999,8,stochastic,static,0,167.56,138,0.0294,1.7861,0.0000,0.3014
4096,delta,0.999,8,stochastic,dynamic,0,166.84,138,0.0296,2.6020,0.0001,0.2018
4096,delta,0.999,4,nearest,static,0,141.16,94,0.0220,0.1277,0.0007,0.9645
4096,delta,0.999,4,nearest,dynamic,0,43.84,0,0.0142,0.0864,0.0001,0.9889
4096,delta,0.999,4,stochastic,static,0,86.38,56,0.0125,0.1868,0.0267,0.8181
4096,delta,0.999,4,stochastic,dynamic,0,16.47,0,0.0004,0.0966,0.0002,0.8978
4096,delta,1.0,32,,,0,176.81,145,0.0311,nan,0.0000,0.0000
4096,delta,1.0,8,nearest,static,0,174.94,142,0.0308,1.6655,0.0000,0.3381
4096,delta,1.0,8,nearest,dynamic,0,176.41,145,0.0309,2.4643,0.0001,0.2221
4096,delta,1.0,8,stochastic,static,0,175.12,144,0.0306,1.6755,0.0000,0.3142
4096,delta,1.0,8,stochastic,dynamic,0,175.09,139,0.0308,2.4608,0.0001,0.2111
4096,delta,1.0,4,nearest,static,0,132.34,89,0.0207,0.1187,0.0005,0.9709
4096,delta,1.0,4,nearest,dynamic,0,30.78,0,0.0116,0.0796,0.0001,0.9914
4096,delta,1.0,4,stochastic,static,0,80.84,50,0.0119,0.1908,0.0338,0.8152
4096,delta,1.0,4,stochastic,dynamic,0,15.84,0,0.0003,0.0966,0.0002,0.8979
4096,hebbian,0.999,32,,,1,590.62,449,0.1167,nan,0.0000,0.0000
4096,hebbian,0.999,8,nearest,static,1,581.59,422,0.1255,0.6074,0.0000,0.6025
4096,hebbian,0.999,8,nearest,dynamic,1,579.00,447,0.1155,0.9732,0.0001,0.4485
4096,hebbian,0.999,8,stochastic,static,1,545.50,420,0.1086,0.6074,0.0000,0.5476
4096,hebbian,0.999,8,stochastic,dynamic,1,562.28,442,0.1117,0.9614,0.0001,0.4161
4096,hebbian,0.999,4,nearest,static,1,26.00,0,0.0065,0.0335,0.0000,1.0000
4096,hebbian,0.999,4,nearest,dynamic,1,74.19,0,0.0110,0.0131,0.0002,0.9986
4096,hebbian,0.999,4,stochastic,static,1,68.75,0,0.0290,0.0335,0.0429,0.9668
4096,hebbian,0.999,4,stochastic,dynamic,1,27.09,0,0.0132,0.0107,0.0002,0.9884
4096,hebbian,1.0,32,,,1,540.81,0,0.1737,nan,0.0000,0.0000
4096,hebbian,1.0,8,nearest,static,1,400.31,0,0.1489,0.2549,0.0000,0.8474
4096,hebbian,1.0,8,nearest,dynamic,1,474.16,0,0.1613,0.5657,0.0001,0.6585
4096,hebbian,1.0,8,stochastic,static,1,323.41,0,0.1316,0.2549,0.0000,0.7572
4096,hebbian,1.0,8,stochastic,dynamic,1,408.53,0,0.1481,0.5532,0.0001,0.5989
4096,hebbian,1.0,4,nearest,static,1,16.03,0,0.0000,0.0140,0.0000,1.0000
4096,hebbian,1.0,4,nearest,dynamic,1,72.25,0,0.0107,0.0091,0.0002,0.9986
4096,hebbian,1.0,4,stochastic,static,1,38.28,0,0.0291,0.0140,0.0905,0.9866
4096,hebbian,1.0,4,stochastic,dynamic,1,23.59,0,0.0130,0.0075,0.0002,0.9920
4096,delta,0.999,32,,,1,167.06,139,0.0301,nan,0.0000,0.0000
4096,delta,0.999,8,nearest,static,1,166.66,138,0.0300,1.7307,0.0000,0.3293
4096,delta,0.999,8,nearest,dynamic,1,166.44,139,0.0300,2.6112,0.0001,0.2116
4096,delta,0.999,8,stochastic,static,1,166.12,138,0.0297,1.7322,0.0000,0.3072
4096,delta,0.999,8,stochastic,dynamic,1,166.69,138,0.0299,2.6062,0.0001,0.2017
4096,delta,0.999,4,nearest,static,1,136.84,103,0.0216,0.1243,0.0005,0.9670
4096,delta,0.999,4,nearest,dynamic,1,38.69,0,0.0139,0.0864,0.0001,0.9889
4096,delta,0.999,4,stochastic,static,1,85.62,55,0.0119,0.1853,0.0263,0.8194
4096,delta,0.999,4,stochastic,dynamic,1,15.31,0,-0.0000,0.0967,0.0002,0.8978
4096,delta,1.0,32,,,1,174.44,140,0.0314,nan,0.0000,0.0000
4096,delta,1.0,8,nearest,static,1,174.56,140,0.0312,1.6227,0.0000,0.3437
4096,delta,1.0,8,nearest,dynamic,1,174.72,140,0.0313,2.4675,0.0001,0.2219
4096,delta,1.0,8,stochastic,static,1,173.97,141,0.0309,1.6329,0.0000,0.3192
4096,delta,1.0,8,stochastic,dynamic,1,174.88,140,0.0312,2.4631,0.0001,0.2111
4096,delta,1.0,4,nearest,static,1,128.41,85,0.0209,0.1158,0.0004,0.9729
4096,delta,1.0,4,nearest,dynamic,1,29.09,0,0.0115,0.0802,0.0001,0.9912
4096,delta,1.0,4,stochastic,static,1,80.06,54,0.0114,0.1900,0.0336,0.8159
4096,delta,1.0,4,stochastic,dynamic,1,15.56,0,-0.0002,0.0968,0.0002,0.8977
4096,hebbian,0.999,32,,,2,583.28,425,0.1167,nan,0.0000,0.0000
4096,hebbian,0.999,8,nearest,static,2,583.31,378,0.1253,0.6523,0.0000,0.5819
4096,hebbian,0.999,8,nearest,dynamic,2,574.16,444,0.1153,0.9770,0.0001,0.4474
4096,hebbian,0.999,8,stochastic,static,2,543.41,420,0.1095,0.6523,0.0000,0.5297
4096,hebbian,0.999,8,stochastic,dynamic,2,558.34,425,0.1118,0.9647,0.0001,0.4150
