T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
2048,hebbian,0.999,32,,,3,578.78,4.27,456.7,23.6,0.2068,0.0002,nan,0.0000
2048,hebbian,0.999,8,nearest,static,3,581.08,2.87,413.0,4.3,0.2112,0.0001,0.6765,0.5709
2048,hebbian,0.999,8,nearest,dynamic,3,569.44,3.43,450.7,9.8,0.2039,0.0001,1.1056,0.4212
2048,hebbian,0.999,8,stochastic,static,3,539.77,3.01,417.7,7.6,0.1950,0.0001,0.6765,0.5206
2048,hebbian,0.999,8,stochastic,dynamic,3,553.27,2.93,420.7,1.7,0.1989,0.0001,1.0968,0.3908
2048,hebbian,0.999,4,nearest,static,3,18.80,0.94,0.0,0.0,0.0149,0.0010,0.0373,1.0000
2048,hebbian,0.999,4,nearest,dynamic,3,66.54,0.89,0.0,0.0,0.0220,0.0003,0.0192,0.9972
2048,hebbian,0.999,4,stochastic,static,3,67.99,0.65,0.0,0.0,0.0566,0.0001,0.0373,0.9631
2048,hebbian,0.999,4,stochastic,dynamic,3,19.38,0.88,0.0,0.0,0.0259,0.0002,0.0160,0.9828
2048,hebbian,1.0,32,,,3,636.43,7.25,0.0,0.0,0.2419,0.0002,nan,0.0000
2048,hebbian,1.0,8,nearest,static,3,540.89,4.81,0.0,0.0,0.2224,0.0003,0.3661,0.7518
2048,hebbian,1.0,8,nearest,dynamic,3,592.93,6.03,0.0,0.0,0.2328,0.0002,0.8055,0.5461
2048,hebbian,1.0,8,stochastic,static,3,466.54,4.34,0.0,0.0,0.2053,0.0003,0.3661,0.6755
2048,hebbian,1.0,8,stochastic,dynamic,3,547.18,5.94,0.0,0.0,0.2229,0.0003,0.7963,0.4996
2048,hebbian,1.0,4,nearest,static,3,8.51,0.40,0.0,0.0,0.0000,0.0001,0.0202,1.0000
2048,hebbian,1.0,4,nearest,dynamic,3,64.57,0.67,0.0,0.0,0.0212,0.0000,0.0158,0.9973
2048,hebbian,1.0,4,stochastic,static,3,36.46,0.95,0.0,0.0,0.0510,0.0004,0.0202,0.9806
2048,hebbian,1.0,4,stochastic,dynamic,3,18.69,1.06,0.0,0.0,0.0261,0.0002,0.0132,0.9859
2048,delta,0.999,32,,,3,158.23,0.23,141.0,2.9,0.0597,0.0001,nan,0.0000
2048,delta,0.999,8,nearest,static,3,158.38,0.57,141.0,1.6,0.0595,0.0001,1.7540,0.3267
2048,delta,0.999,8,nearest,dynamic,3,157.92,0.33,140.0,2.9,0.0595,0.0001,2.6505,0.2100
2048,delta,0.999,8,stochastic,static,3,157.22,0.32,140.0,2.9,0.0589,0.0001,1.7557,0.3048
2048,delta,0.999,8,stochastic,dynamic,3,157.86,0.11,141.0,2.9,0.0593,0.0001,2.6472,0.2001
2048,delta,0.999,4,nearest,static,3,133.71,3.52,104.0,1.6,0.0433,0.0003,0.1209,0.9692
2048,delta,0.999,4,nearest,dynamic,3,39.29,2.72,0.0,0.0,0.0289,0.0003,0.0906,0.9862
2048,delta,0.999,4,stochastic,static,3,79.12,0.99,56.7,2.4,0.0247,0.0006,0.1842,0.8204
2048,delta,0.999,4,stochastic,dynamic,3,8.00,0.58,0.0,0.0,-0.0001,0.0002,0.0986,0.8958
2048,delta,1.0,32,,,3,167.02,0.12,147.7,1.2,0.0624,0.0002,nan,0.0000
2048,delta,1.0,8,nearest,static,3,166.22,0.68,145.7,1.7,0.0620,0.0002,1.6582,0.3392
2048,delta,1.0,8,nearest,dynamic,3,166.32,0.31,145.0,1.4,0.0622,0.0002,2.5149,0.2195
2048,delta,1.0,8,stochastic,static,3,165.33,0.36,145.3,1.7,0.0615,0.0001,1.6679,0.3153
2048,delta,1.0,8,stochastic,dynamic,3,166.22,0.23,144.3,2.9,0.0619,0.0002,2.5099,0.2089
2048,delta,1.0,4,nearest,static,3,124.74,3.43,89.0,5.1,0.0414,0.0005,0.1114,0.9754
2048,delta,1.0,4,nearest,dynamic,3,19.73,1.25,0.0,0.0,0.0209,0.0001,0.0847,0.9886
2048,delta,1.0,4,stochastic,static,3,72.76,1.25,51.3,1.2,0.0230,0.0004,0.1886,0.8173
2048,delta,1.0,4,stochastic,dynamic,3,7.93,0.39,0.0,0.0,0.0000,0.0002,0.0985,0.8960
