T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
2048,hebbian,0.999,32,,,0,572.75,442,0.2066,nan,0.0000,0.0000
2048,hebbian,0.999,8,nearest,static,0,577.22,409,0.2111,0.6873,0.0000,0.5660
2048,hebbian,0.999,8,nearest,dynamic,0,564.81,462,0.2038,1.1098,0.0001,0.4204
2048,hebbian,0.999,8,stochastic,static,0,535.66,407,0.1952,0.6873,0.0000,0.5163
2048,hebbian,0.999,8,stochastic,dynamic,0,549.12,420,0.1988,1.1024,0.0001,0.3896
2048,hebbian,0.999,4,nearest,static,0,19.66,0,0.0161,0.0379,0.0000,1.0000
2048,hebbian,0.999,4,nearest,dynamic,0,65.47,0,0.0217,0.0186,0.0002,0.9972
2048,hebbian,0.999,4,stochastic,static,0,67.09,0,0.0568,0.0379,0.0435,0.9626
2048,hebbian,0.999,4,stochastic,dynamic,0,18.56,0,0.0257,0.0161,0.0002,0.9827
2048,hebbian,1.0,32,,,0,627.56,0,0.2418,nan,0.0000,0.0000
2048,hebbian,1.0,8,nearest,static,0,534.44,0,0.2227,0.3698,0.0000,0.7487
2048,hebbian,1.0,8,nearest,dynamic,0,585.78,0,0.2327,0.8070,0.0001,0.5469
2048,hebbian,1.0,8,stochastic,static,0,461.62,0,0.2057,0.3698,0.0000,0.6729
2048,hebbian,1.0,8,stochastic,dynamic,0,539.06,0,0.2230,0.8023,0.0001,0.4978
2048,hebbian,1.0,4,nearest,static,0,8.12,0,-0.0001,0.0204,0.0000,1.0000
2048,hebbian,1.0,4,nearest,dynamic,0,65.03,0,0.0212,0.0156,0.0002,0.9972
2048,hebbian,1.0,4,stochastic,static,0,35.59,0,0.0515,0.0204,0.0759,0.9804
2048,hebbian,1.0,4,stochastic,dynamic,0,17.94,0,0.0258,0.0132,0.0002,0.9858
2048,delta,0.999,32,,,0,157.91,142,0.0595,nan,0.0000,0.0000
2048,delta,0.999,8,nearest,static,0,158.78,141,0.0594,1.8105,0.0000,0.3198
2048,delta,0.999,8,nearest,dynamic,0,158.03,139,0.0594,2.6597,0.0001,0.2093
2048,delta,0.999,8,stochastic,static,0,156.84,139,0.0588,1.8118,0.0000,0.2987
2048,delta,0.999,8,stochastic,dynamic,0,157.97,142,0.0591,2.6549,0.0001,0.1996
2048,delta,0.999,4,nearest,static,0,138.47,106,0.0437,0.1247,0.0006,0.9664
2048,delta,0.999,4,nearest,dynamic,0,39.75,0,0.0293,0.0909,0.0001,0.9860
2048,delta,0.999,4,stochastic,static,0,80.41,60,0.0254,0.1856,0.0259,0.8192
2048,delta,0.999,4,stochastic,dynamic,0,7.56,0,0.0001,0.0987,0.0002,0.8958
2048,delta,1.0,32,,,0,167.03,149,0.0623,nan,0.0000,0.0000
2048,delta,1.0,8,nearest,static,0,166.41,144,0.0619,1.6879,0.0000,0.3352
2048,delta,1.0,8,nearest,dynamic,0,166.00,144,0.0620,2.5218,0.0001,0.2189
2048,delta,1.0,8,stochastic,static,0,165.38,143,0.0614,1.6974,0.0000,0.3118
2048,delta,1.0,8,stochastic,dynamic,0,165.91,144,0.0618,2.5171,0.0001,0.2085
2048,delta,1.0,4,nearest,static,0,128.94,91,0.0412,0.1138,0.0004,0.9739
2048,delta,1.0,4,nearest,dynamic,0,20.06,0,0.0209,0.0842,0.0001,0.9887
2048,delta,1.0,4,stochastic,static,0,74.28,51,0.0235,0.1892,0.0328,0.8167
2048,delta,1.0,4,stochastic,dynamic,0,8.03,0,0.0002,0.0987,0.0002,0.8959
2048,hebbian,0.999,32,,,1,582.12,438,0.2070,nan,0.0000,0.0000
2048,hebbian,0.999,8,nearest,static,1,584.09,411,0.2114,0.6706,0.0000,0.5733
2048,hebbian,0.999,8,nearest,dynamic,1,570.50,438,0.2041,1.0988,0.0001,0.4225
2048,hebbian,0.999,8,stochastic,static,1,542.75,422,0.1950,0.6706,0.0000,0.5227
2048,hebbian,0.999,8,stochastic,dynamic,1,555.25,423,0.1990,1.0905,0.0001,0.3919
2048,hebbian,0.999,4,nearest,static,1,19.25,0,0.0136,0.0370,0.0000,1.0000
2048,hebbian,0.999,4,nearest,dynamic,1,66.50,0,0.0224,0.0188,0.0002,0.9972
2048,hebbian,0.999,4,stochastic,static,1,68.28,0,0.0567,0.0370,0.0424,0.9635
2048,hebbian,0.999,4,stochastic,dynamic,1,20.59,0,0.0258,0.0160,0.0002,0.9828
2048,hebbian,1.0,32,,,1,636.41,0,0.2421,nan,0.0000,0.0000
2048,hebbian,1.0,8,nearest,static,1,542.25,0,0.2224,0.3642,0.0000,0.7532
2048,hebbian,1.0,8,nearest,dynamic,1,592.47,0,0.2330,0.8020,0.0001,0.5460
2048,hebbian,1.0,8,stochastic,static,1,465.81,0,0.2052,0.3642,0.0000,0.6767
2048,hebbian,1.0,8,stochastic,dynamic,1,549.38,0,0.2232,0.7929,0.0001,0.4998
2048,hebbian,1.0,4,nearest,static,1,8.34,0,0.0001,0.0201,0.0000,1.0000
2048,hebbian,1.0,4,nearest,dynamic,1,63.62,0,0.0212,0.0157,0.0002,0.9973
2048,hebbian,1.0,4,stochastic,static,1,37.78,0,0.0507,0.0201,0.0748,0.9807
2048,hebbian,1.0,4,stochastic,dynamic,1,20.19,0,0.0263,0.0132,0.0002,0.9859
2048,delta,0.999,32,,,1,158.44,144,0.0598,nan,0.0000,0.0000
2048,delta,0.999,8,nearest,static,1,157.56,143,0.0597,1.6914,0.0000,0.3345
2048,delta,0.999,8,nearest,dynamic,1,157.47,144,0.0597,2.6438,0.0001,0.2102
2048,delta,0.999,8,stochastic,static,1,157.19,144,0.0591,1.6935,0.0000,0.3117
2048,delta,0.999,8,stochastic,dynamic,1,157.72,144,0.0594,2.6411,0.0001,0.2002
2048,delta,0.999,4,nearest,static,1,130.06,104,0.0429,0.1164,0.0003,0.9724
2048,delta,0.999,4,nearest,dynamic,1,35.75,0,0.0286,0.0905,0.0001,0.9862
2048,delta,0.999,4,stochastic,static,1,78.00,55,0.0240,0.1827,0.0252,0.8217
2048,delta,0.999,4,stochastic,dynamic,1,8.81,0,-0.0002,0.0984,0.0002,0.8960
2048,delta,1.0,32,,,1,166.88,148,0.0627,nan,0.0000,0.0000
2048,delta,1.0,8,nearest,static,1,165.31,148,0.0622,1.6169,0.0000,0.3447
2048,delta,1.0,8,nearest,dynamic,1,166.75,147,0.0624,2.5098,0.0001,0.2197
2048,delta,1.0,8,stochastic,static,1,164.88,147,0.0616,1.6269,0.0000,0.3202
2048,delta,1.0,8,stochastic,dynamic,1,166.44,148,0.0621,2.5032,0.0001,0.2092
2048,delta,1.0,4,nearest,static,1,120.53,82,0.0409,0.1080,0.0002,0.9776
2048,delta,1.0,4,nearest,dynamic,1,21.06,0,0.0208,0.0846,0.0001,0.9886
2048,delta,1.0,4,stochastic,static,1,71.22,50,0.0224,0.1877,0.0324,0.8180
2048,delta,1.0,4,stochastic,dynamic,1,7.41,0,-0.0001,0.0984,0.0002,0.8960
2048,hebbian,0.999,32,,,2,581.47,490,0.2067,nan,0.0000,0.0000
2048,hebbian,0.999,8,nearest,static,2,581.94,419,0.2112,0.6716,0.0000,0.5736
2048,hebbian,0.999,8,nearest,dynamic,2,573.00,452,0.2037,1.1080,0.0001,0.4207
2048,hebbian,0.999,8,stochastic,static,2,540.91,424,0.1949,0.6716,0.0000,0.5226
2048,hebbian,0.999,8,stochastic,dynamic,2,555.44,419,0.1989,1.0975,0.0001,0.3909
2048,hebbian,0.999,4,nearest,static,2,17.50,0,0.0150,0.0370,0.0000,1.0000
2048,hebbian,0.999,4,nearest,dynamic,2,67.66,0,0.0219,0.0201,0.0002,0.9972
2048,hebbian,0.999,4,stochastic,static,2,68.59,0,0.0565,0.0370,0.0422,0.9634
2048,hebbian,0.999,4,stochastic,dynamic,2,18.97,0,0.0261,0.0160,0.0002,0.9828
2048,hebbian,1.0,32,,,2,645.31,0,0.2417,nan,0.0000,0.0000
2048,hebbian,1.0,8,nearest,static,2,545.97,0,0.2220,0.3641,0.0000,0.7535
2048,hebbian,1.0,8,nearest,dynamic,2,600.53,0,0.2328,0.8074,0.0001,0.5455
2048,hebbian,1.0,8,stochastic,static,2,472.19,0,0.2049,0.3641,0.0000,0.6769
2048,hebbian,1.0,8,stochastic,dynamic,2,553.09,0,0.2226,0.7938,0.0001,0.5013
2048,hebbian,1.0,4,nearest,static,2,9.06,0,0.0001,0.0201,0.0000,1.0000
2048,hebbian,1.0,4,nearest,dynamic,2,65.06,0,0.0211,0.0161,0.0002,0.9973
2048,hebbian,1.0,4,stochastic,static,2,36.00,0,0.0507,0.0201,0.0745,0.9807
2048,hebbian,1.0,4,stochastic,dynamic,2,17.94,0,0.0261,0.0132,0.0002,0.9859
2048,delta,0.999,32,,,2,158.34,137,0.0596,nan,0.0000,0.0000
2048,delta,0.999,8,nearest,static,2,158.78,139,0.0595,1.7601,0.0000,0.3259
2048,delta,0.999,8,nearest,dynamic,2,158.25,137,0.0594,2.6479,0.0001,0.2105
2048,delta,0.999,8,stochastic,static,2,157.62,137,0.0589,1.7617,0.0000,0.3041
2048,delta,0.999,8,stochastic,dynamic,2,157.91,137,0.0592,2.6457,0.0001,0.2004
2048,delta,0.999,4,nearest,static,2,132.59,102,0.0433,0.1214,0.0005,0.9688
2048,delta,0.999,4,nearest,dynamic,2,42.38,0,0.0288,0.0903,0.0001,0.9863
2048,delta,0.999,4,stochastic,static,2,78.97,55,0.0247,0.1844,0.0257,0.8203
2048,delta,0.999,4,stochastic,dynamic,2,7.62,0,-0.0004,0.0987,0.0002,0.8957
2048,delta,1.0,32,,,2,167.16,146,0.0623,nan,0.0000,0.0000
2048,delta,1.0,8,nearest,static,2,166.94,145,0.0618,1.6697,0.0000,0.3378
2048,delta,1.0,8,nearest,dynamic,2,166.22,144,0.0620,2.5131,0.0001,0.2201
2048,delta,1.0,8,stochastic,static,2,165.75,146,0.0615,1.6794,0.0000,0.3139
2048,delta,1.0,8,stochastic,dynamic,2,166.31,141,0.0618,2.5095,0.0001,0.2092
2048,delta,1.0,4,nearest,static,2,124.75,94,0.0421,0.1123,0.0004,0.9748
2048,delta,1.0,4,nearest,dynamic,2,18.06,0,0.0210,0.0853,0.0001,0.9883
2048,delta,1.0,4,stochastic,static,2,72.78,53,0.0231,0.1888,0.0327,0.8170
2048,delta,1.0,4,stochastic,dynamic,2,8.34,0,-0.0001,0.0984,0.0002,0.8961
