T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
1024,hebbian,0.999,32,,,0,573.44,542,0.3169,nan,0.0000,0.0000
1024,hebbian,0.999,8,nearest,static,0,580.62,545,0.3146,0.7318,0.0000,0.5499
1024,hebbian,0.999,8,nearest,dynamic,0,567.47,528,0.3133,1.3314,0.0001,0.3805
1024,hebbian,0.999,8,stochastic,static,0,545.19,456,0.3021,0.7318,0.0000,0.5024
1024,hebbian,0.999,8,stochastic,dynamic,0,556.81,519,0.3084,1.3252,0.0001,0.3538
1024,hebbian,0.999,4,nearest,static,0,17.09,0,0.0278,0.0403,0.0000,0.9999
1024,hebbian,0.999,4,nearest,dynamic,0,62.91,0,0.0447,0.0304,0.0002,0.9945
1024,hebbian,0.999,4,stochastic,static,0,70.56,0,0.0993,0.0403,0.0353,0.9601
1024,hebbian,0.999,4,stochastic,dynamic,0,18.50,0,0.0518,0.0256,0.0002,0.9726
1024,hebbian,1.0,32,,,0,661.09,1024,0.3328,nan,0.0000,0.0000
1024,hebbian,1.0,8,nearest,static,0,618.12,305,0.3173,0.4953,0.0000,0.6643
1024,hebbian,1.0,8,nearest,dynamic,0,642.59,1024,0.3264,1.1191,0.0001,0.4477
1024,hebbian,1.0,8,stochastic,static,0,578.16,45,0.3024,0.4953,0.0000,0.6014
1024,hebbian,1.0,8,stochastic,dynamic,0,627.25,1024,0.3198,1.1147,0.0001,0.4119
1024,hebbian,1.0,4,nearest,static,0,8.91,0,0.0038,0.0273,0.0000,1.0000
1024,hebbian,1.0,4,nearest,dynamic,0,60.28,0,0.0428,0.0281,0.0002,0.9947
1024,hebbian,1.0,4,stochastic,static,0,44.16,0,0.0870,0.0273,0.0538,0.9734
1024,hebbian,1.0,4,stochastic,dynamic,0,17.81,0,0.0519,0.0232,0.0002,0.9753
1024,delta,0.999,32,,,0,154.91,144,0.1190,nan,0.0000,0.0000
1024,delta,0.999,8,nearest,static,0,155.50,144,0.1188,1.8513,0.0000,0.3160
1024,delta,0.999,8,nearest,dynamic,0,154.66,144,0.1185,2.7214,0.0001,0.2067
1024,delta,0.999,8,stochastic,static,0,153.72,144,0.1176,1.8527,0.0000,0.2951
1024,delta,0.999,8,stochastic,dynamic,0,154.16,144,0.1181,2.7189,0.0001,0.1968
1024,delta,0.999,4,nearest,static,0,132.69,106,0.0888,0.1195,0.0004,0.9700
1024,delta,0.999,4,nearest,dynamic,0,27.03,0,0.0533,0.0971,0.0001,0.9816
1024,delta,0.999,4,stochastic,static,0,78.72,61,0.0517,0.1835,0.0246,0.8211
1024,delta,0.999,4,stochastic,dynamic,0,4.28,0,-0.0000,0.1025,0.0002,0.8919
1024,delta,1.0,32,,,0,162.53,152,0.1244,nan,0.0000,0.0000
1024,delta,1.0,8,nearest,static,0,161.72,151,0.1236,1.7712,0.0000,0.3256
1024,delta,1.0,8,nearest,dynamic,0,161.97,152,0.1240,2.5972,0.0001,0.2150
1024,delta,1.0,8,stochastic,static,0,161.66,150,0.1227,1.7796,0.0000,0.3033
1024,delta,1.0,8,stochastic,dynamic,0,162.06,152,0.1234,2.5946,0.0001,0.2048
1024,delta,1.0,4,nearest,static,0,127.56,100,0.0865,0.1098,0.0003,0.9764
1024,delta,1.0,4,nearest,dynamic,0,19.81,0,0.0450,0.0947,0.0001,0.9828
1024,delta,1.0,4,stochastic,static,0,74.22,56,0.0494,0.1873,0.0311,0.8185
1024,delta,1.0,4,stochastic,dynamic,0,4.19,0,-0.0003,0.1024,0.0002,0.8920
1024,hebbian,0.999,32,,,1,569.38,489,0.3170,nan,0.0000,0.0000
1024,hebbian,0.999,8,nearest,static,1,578.06,492,0.3140,0.6948,0.0000,0.5636
1024,hebbian,0.999,8,nearest,dynamic,1,561.62,489,0.3132,1.3402,0.0001,0.3782
1024,hebbian,0.999,8,stochastic,static,1,537.41,467,0.3007,0.6948,0.0000,0.5145
1024,hebbian,0.999,8,stochastic,dynamic,1,553.31,455,0.3085,1.3338,0.0001,0.3519
1024,hebbian,0.999,4,nearest,static,1,15.62,0,0.0225,0.0383,0.0000,1.0000
1024,hebbian,0.999,4,nearest,dynamic,1,63.38,0,0.0429,0.0292,0.0002,0.9944
1024,hebbian,0.999,4,stochastic,static,1,66.16,0,0.0973,0.0383,0.0330,0.9620
1024,hebbian,0.999,4,stochastic,dynamic,1,19.41,0,0.0527,0.0256,0.0002,0.9726
1024,hebbian,1.0,32,,,1,654.25,1024,0.3327,nan,0.0000,0.0000
1024,hebbian,1.0,8,nearest,static,1,614.50,14,0.3174,0.5020,0.0000,0.6599
1024,hebbian,1.0,8,nearest,dynamic,1,639.28,14,0.3264,1.1291,0.0001,0.4441
1024,hebbian,1.0,8,stochastic,static,1,575.91,3,0.3029,0.5020,0.0000,0.5975
1024,hebbian,1.0,8,stochastic,dynamic,1,620.41,489,0.3195,1.1185,0.0001,0.4113
1024,hebbian,1.0,4,nearest,static,1,8.25,0,0.0028,0.0277,0.0000,1.0000
1024,hebbian,1.0,4,nearest,dynamic,1,60.22,0,0.0409,0.0273,0.0002,0.9946
1024,hebbian,1.0,4,stochastic,static,1,43.94,0,0.0878,0.0277,0.0549,0.9731
1024,hebbian,1.0,4,stochastic,dynamic,1,18.88,0,0.0526,0.0229,0.0002,0.9755
1024,delta,0.999,32,,,1,152.81,144,0.1183,nan,0.0000,0.0000
1024,delta,0.999,8,nearest,static,1,152.94,144,0.1181,1.8828,0.0000,0.3121
1024,delta,0.999,8,nearest,dynamic,1,152.91,144,0.1180,2.7336,0.0001,0.2056
1024,delta,0.999,8,stochastic,static,1,151.66,137,0.1171,1.8844,0.0000,0.2915
1024,delta,0.999,8,stochastic,dynamic,1,152.25,137,0.1176,2.7269,0.0001,0.1966
1024,delta,0.999,4,nearest,static,1,134.09,113,0.0894,0.1219,0.0005,0.9684
1024,delta,0.999,4,nearest,dynamic,1,31.94,0,0.0555,0.0984,0.0001,0.9810
1024,delta,0.999,4,stochastic,static,1,80.69,64,0.0524,0.1844,0.0249,0.8204
1024,delta,0.999,4,stochastic,dynamic,1,4.59,0,0.0005,0.1026,0.0002,0.8918
1024,delta,1.0,32,,,1,161.38,155,0.1239,nan,0.0000,0.0000
1024,delta,1.0,8,nearest,static,1,161.28,155,0.1231,1.7688,0.0000,0.3256
1024,delta,1.0,8,nearest,dynamic,1,161.00,155,0.1234,2.6098,0.0001,0.2142
1024,delta,1.0,8,stochastic,static,1,160.00,150,0.1224,1.7775,0.0000,0.3032
1024,delta,1.0,8,stochastic,dynamic,1,160.44,147,0.1230,2.6011,0.0001,0.2043
1024,delta,1.0,4,nearest,static,1,127.56,96,0.0865,0.1096,0.0003,0.9766
1024,delta,1.0,4,nearest,dynamic,1,18.88,0,0.0435,0.0952,0.0001,0.9824
1024,delta,1.0,4,stochastic,static,1,73.75,55,0.0489,0.1873,0.0311,0.8185
1024,delta,1.0,4,stochastic,dynamic,1,4.34,0,0.0006,0.1024,0.0002,0.8921
1024,hebbian,0.999,32,,,2,571.91,532,0.3172,nan,0.0000,0.0000
1024,hebbian,0.999,8,nearest,static,2,581.50,527,0.3148,0.7523,0.0000,0.5382
1024,hebbian,0.999,8,nearest,dynamic,2,567.16,532,0.3134,1.3325,0.0001,0.3787
1024,hebbian,0.999,8,stochastic,static,2,545.69,446,0.3028,0.7523,0.0000,0.4925
1024,hebbian,0.999,8,stochastic,dynamic,2,556.34,445,0.3084,1.3309,0.0001,0.3516
1024,hebbian,0.999,4,nearest,static,2,17.44,0,0.0288,0.0415,0.0000,0.9999
1024,hebbian,0.999,4,nearest,dynamic,2,62.12,0,0.0433,0.0295,0.0002,0.9944
1024,hebbian,0.999,4,stochastic,static,2,69.91,0,0.0997,0.0415,0.0368,0.9590
1024,hebbian,0.999,4,stochastic,dynamic,2,19.34,0,0.0520,0.0258,0.0002,0.9724
1024,hebbian,1.0,32,,,2,661.38,1024,0.3330,nan,0.0000,0.0000
1024,hebbian,1.0,8,nearest,static,2,623.38,1024,0.3183,0.5170,0.0000,0.6494
1024,hebbian,1.0,8,nearest,dynamic,2,646.00,1024,0.3264,1.1213,0.0001,0.4465
1024,hebbian,1.0,8,stochastic,static,2,582.75,83,0.3043,0.5170,0.0000,0.5885
1024,hebbian,1.0,8,stochastic,dynamic,2,624.81,1024,0.3197,1.1194,0.0001,0.4100
1024,hebbian,1.0,4,nearest,static,2,10.72,0,0.0052,0.0285,0.0000,1.0000
1024,hebbian,1.0,4,nearest,dynamic,2,59.66,0,0.0418,0.0270,0.0002,0.9946
1024,hebbian,1.0,4,stochastic,static,2,41.81,0,0.0878,0.0285,0.0563,0.9723
1024,hebbian,1.0,4,stochastic,dynamic,2,17.28,0,0.0509,0.0231,0.0002,0.9754
1024,delta,0.999,32,,,2,155.31,142,0.1199,nan,0.0000,0.0000
1024,delta,0.999,8,nearest,static,2,155.91,143,0.1197,1.7445,0.0000,0.3278
1024,delta,0.999,8,nearest,dynamic,2,155.75,143,0.1196,2.7266,0.0001,0.2063
1024,delta,0.999,8,stochastic,static,2,155.06,142,0.1186,1.7465,0.0000,0.3058
1024,delta,0.999,8,stochastic,dynamic,2,155.56,142,0.1192,2.7223,0.0001,0.1968
1024,delta,0.999,4,nearest,static,2,127.88,104,0.0867,0.1109,0.0002,0.9760
1024,delta,0.999,4,nearest,dynamic,2,27.25,0,0.0533,0.0976,0.0001,0.9813
1024,delta,0.999,4,stochastic,static,2,76.56,60,0.0499,0.1805,0.0239,0.8238
1024,delta,0.999,4,stochastic,dynamic,2,4.03,0,0.0004,0.1024,0.0002,0.8921
1024,delta,1.0,32,,,2,163.31,145,0.1253,nan,0.0000,0.0000
1024,delta,1.0,8,nearest,static,2,162.72,145,0.1243,1.6369,0.0000,0.3421
1024,delta,1.0,8,nearest,dynamic,2,163.12,145,0.1248,2.5992,0.0001,0.2152
1024,delta,1.0,8,stochastic,static,2,162.38,145,0.1234,1.6459,0.0000,0.3180
1024,delta,1.0,8,stochastic,dynamic,2,163.19,145,0.1244,2.5950,0.0001,0.2050
1024,delta,1.0,4,nearest,static,2,117.88,95,0.0849,0.0977,0.0001,0.9838
1024,delta,1.0,4,nearest,dynamic,2,19.81,0,0.0435,0.0946,0.0001,0.9827
1024,delta,1.0,4,stochastic,static,2,69.38,51,0.0470,0.1842,0.0302,0.8213
1024,delta,1.0,4,stochastic,dynamic,2,3.91,0,0.0001,0.1021,0.0002,0.8923
